busco_id,bin_id,overlap_percentage
24557at7147,OZ002741.1_bin_1066,100.0
24690at7147,OZ002740.1_bin_1449,100.0
24767at7147,OZ002740.1_bin_15,100.0
24982at7147,OZ002743.1_bin_81,100.0
25034at7147,OZ002740.1_bin_57,100.0
25037at7147,OZ002742.1_bin_993,100.0
25045at7147,OZ002742.1_bin_956,100.0
25119at7147,OZ002745.1_bin_25,100.0
25176at7147,OZ002745.1_bin_180,100.0
25297at7147,OZ002745.1_bin_63,100.0
25365at7147,OZ002742.1_bin_428,39.211347936180154
25365at7147,OZ002742.1_bin_429,60.788652063819846
25380at7147,OZ002745.1_bin_58,100.0
25381at7147,OZ002741.1_bin_1379,100.0
25399at7147,OZ002741.1_bin_1526,100.0
25417at7147,OZ002742.1_bin_124,100.0
25419at7147,OZ002742.1_bin_678,2.761876995498795
25419at7147,OZ002742.1_bin_679,97.2381230045012
25471at7147,OZ002741.1_bin_1312,100.0
25587at7147,OZ002740.1_bin_1686,100.0
25662at7147,OZ002741.1_bin_145,100.0
25769at7147,OZ002740.1_bin_1473,100.0
25828at7147,OZ002742.1_bin_571,100.0
25925at7147,OZ002741.1_bin_1194,100.0
26206at7147,OZ002743.1_bin_457,100.0
26270at7147,OZ002741.1_bin_1053,100.0
26382at7147,OZ002740.1_bin_1534,100.0
26413at7147,OZ002740.1_bin_1696,73.12303648137463
26413at7147,OZ002740.1_bin_1697,26.876963518625374
26431at7147,OZ002741.1_bin_1229,100.0
26452at7147,OZ002740.1_bin_211,7.475246711876653
26452at7147,OZ002740.1_bin_212,92.52475328812335
26486at7147,OZ002740.1_bin_1574,100.0
26565at7147,OZ002742.1_bin_133,100.0
26603at7147,OZ002744.1_bin_137,100.0
26759at7147,OZ002741.1_bin_1532,100.0
26790at7147,OZ002741.1_bin_1019,100.0
26854at7147,OZ002745.1_bin_140,100.0
26907at7147,OZ002740.1_bin_1881,100.0
27022at7147,OZ002741.1_bin_204,100.0
27053at7147,OZ002742.1_bin_429,100.0
27072at7147,OZ002740.1_bin_1499,100.0
27128at7147,OZ002741.1_bin_279,100.0
27217at7147,OZ002740.1_bin_1767,58.42678190470981
27217at7147,OZ002740.1_bin_1768,41.573218095290194
