busco_id,bin_id,overlap_percentage
4829at7147,OX371223.1_bin_131,100.0
4932at7147,OX371225.1_bin_487,100.0
5213at7147,OX371224.1_bin_1188,100.0
5225at7147,OX371224.1_bin_738,100.0
5263at7147,OX371225.1_bin_501,100.0
5433at7147,OX371224.1_bin_1241,100.0
5488at7147,OX371224.1_bin_1383,100.0
5674at7147,OX371223.1_bin_1918,100.0
5711at7147,OX371223.1_bin_856,100.0
5723at7147,OX371223.1_bin_1242,100.0
5768at7147,OX371225.1_bin_1310,100.0
5780at7147,OX371223.1_bin_546,100.0
5845at7147,OX371224.1_bin_1052,100.0
5858at7147,OX371224.1_bin_67,100.0
5978at7147,OX371226.1_bin_9,100.0
6130at7147,OX371223.1_bin_150,100.0
6240at7147,OX371223.1_bin_1810,100.0
6256at7147,OX371225.1_bin_1334,100.0
6718at7147,OX371225.1_bin_1502,100.0
6736at7147,OX371226.1_bin_85,100.0
6974at7147,OX371224.1_bin_1637,100.0
7054at7147,OX371223.1_bin_1367,100.0
7326at7147,OX371225.1_bin_878,100.0
7353at7147,OX371225.1_bin_1084,100.0
7355at7147,OX371223.1_bin_1756,100.0
7470at7147,OX371223.1_bin_1775,100.0
7527at7147,OX371224.1_bin_1237,100.0
7563at7147,OX371224.1_bin_1599,49.480931439694324
7563at7147,OX371224.1_bin_1600,50.51906856030567
7677at7147,OX371224.1_bin_1704,100.0
7764at7147,OX371223.1_bin_901,100.0
7798at7147,OX371225.1_bin_1289,100.0
7971at7147,OX371225.1_bin_899,100.0
8005at7147,OX371223.1_bin_1513,100.0
8016at7147,OX371224.1_bin_92,100.0
8037at7147,OX371224.1_bin_1684,100.0
8079at7147,OX371223.1_bin_1350,28.997299602046617
8079at7147,OX371223.1_bin_1351,71.00270039795338
8161at7147,OX371224.1_bin_1829,100.0
8234at7147,OX371224.1_bin_1009,100.0
8348at7147,OX371224.1_bin_664,100.0
8364at7147,OX371223.1_bin_1897,100.0
8365at7147,OX371225.1_bin_1054,100.0
8456at7147,OX371224.1_bin_1096,100.0
8734at7147,OX371225.1_bin_7,100.0
8741at7147,OX371224.1_bin_212,100.0
8776at7147,OX371224.1_bin_316,100.0
8873at7147,OX371225.1_bin_261,100.0
8933at7147,OX371223.1_bin_513,100.0
8944at7147,OX371224.1_bin_104,33.50383631713555
8944at7147,OX371224.1_bin_105,66.49616368286445
8977at7147,OX371224.1_bin_325,100.0
9125at7147,OX371223.1_bin_256,100.0
9191at7147,OX371225.1_bin_496,100.0
9356at7147,OX371225.1_bin_10,100.0
9394at7147,OX371223.1_bin_584,100.0
9406at7147,OX371226.1_bin_60,100.0
9425at7147,OX371223.1_bin_448,100.0
9487at7147,OX371224.1_bin_1115,100.0
9678at7147,OX371224.1_bin_774,100.0
9921at7147,OX371225.1_bin_1094,100.0
9938at7147,OX371225.1_bin_940,100.0
10055at7147,OX371223.1_bin_1265,100.0
10097at7147,OX371224.1_bin_990,100.0
10198at7147,OX371224.1_bin_83,100.0
10247at7147,OX371224.1_bin_862,100.0
10407at7147,OX371224.1_bin_1803,100.0
10408at7147,OX371225.1_bin_226,26.470360924337278
10408at7147,OX371225.1_bin_227,73.52963907566273
10443at7147,OX371223.1_bin_551,100.0
10456at7147,OX371224.1_bin_1366,100.0
10532at7147,OX371225.1_bin_1114,100.0
10563at7147,OX371223.1_bin_1036,100.0
10589at7147,OX371225.1_bin_599,100.0
10612at7147,OX371225.1_bin_306,100.0
10620at7147,OX371225.1_bin_501,100.0
10654at7147,OX371224.1_bin_110,100.0
10709at7147,OX371224.1_bin_733,100.0
10730at7147,OX371226.1_bin_55,100.0
10911at7147,OX371225.1_bin_4,100.0
11023at7147,OX371224.1_bin_1530,100.0
11146at7147,OX371223.1_bin_1860,100.0
11268at7147,OX371225.1_bin_1072,100.0
11292at7147,OX371224.1_bin_953,100.0
11343at7147,OX371223.1_bin_504,100.0
11421at7147,OX371223.1_bin_261,100.0
11457at7147,OX371224.1_bin_1346,100.0
11484at7147,OX371225.1_bin_282,100.0
11516at7147,OX371223.1_bin_10,100.0
11534at7147,OX371223.1_bin_174,100.0
11753at7147,OX371224.1_bin_806,100.0
11778at7147,OX371224.1_bin_66,100.0
11888at7147,OX371225.1_bin_1513,100.0
11999at7147,OX371225.1_bin_1080,100.0
12100at7147,OX371224.1_bin_1789,100.0
12116at7147,OX371223.1_bin_679,81.43009141641151
12116at7147,OX371223.1_bin_680,18.569908583588475
12219at7147,OX371225.1_bin_430,100.0
12226at7147,OX371224.1_bin_380,100.0
12283at7147,OX371225.1_bin_964,100.0
12285at7147,OX371223.1_bin_1403,100.0
12361at7147,OX371225.1_bin_403,100.0
12492at7147,OX371223.1_bin_867,100.0
12531at7147,OX371225.1_bin_98,100.0
12652at7147,OX371223.1_bin_478,100.0
12796at7147,OX371225.1_bin_264,100.0
13052at7147,OX371223.1_bin_1858,100.0
13055at7147,OX371224.1_bin_1426,100.0
13056at7147,OX371223.1_bin_1005,100.0
13207at7147,OX371225.1_bin_948,100.0
13389at7147,OX371224.1_bin_195,100.0
13497at7147,OX371223.1_bin_224,100.0
13588at7147,OX371225.1_bin_539,100.0
13731at7147,OX371223.1_bin_1439,100.0
13808at7147,OX371224.1_bin_1827,100.0
13883at7147,OX371223.1_bin_190,100.0
13919at7147,OX371225.1_bin_708,100.0
14042at7147,OX371225.1_bin_7,100.0
14054at7147,OX371223.1_bin_64,100.0
14119at7147,OX371224.1_bin_205,100.0
14247at7147,OX371224.1_bin_194,100.0
14368at7147,OX371223.1_bin_72,100.0
14525at7147,OX371224.1_bin_325,100.0
14621at7147,OX371225.1_bin_40,100.0
14633at7147,OX371224.1_bin_874,100.0
14661at7147,OX371223.1_bin_1287,100.0
14706at7147,OX371225.1_bin_766,100.0
14792at7147,OX371223.1_bin_1617,100.0
14821at7147,OX371225.1_bin_37,100.0
15074at7147,OX371224.1_bin_380,100.0
15336at7147,OX371225.1_bin_1132,100.0
15356at7147,OX371223.1_bin_1176,100.0
15390at7147,OX371223.1_bin_860,100.0
15451at7147,OX371225.1_bin_615,100.0
15468at7147,OX371223.1_bin_297,100.0
15549at7147,OX371224.1_bin_369,100.0
15597at7147,OX371223.1_bin_36,100.0
15662at7147,OX371224.1_bin_365,100.0
15771at7147,OX371225.1_bin_19,100.0
15909at7147,OX371223.1_bin_1609,100.0
15956at7147,OX371223.1_bin_72,100.0
15977at7147,OX371224.1_bin_754,100.0
